t	IF	IR	VF	VR	VelSP	VelRE	DCbus	PINV
33,010	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
0,007	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
1,006	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
2,007	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
3,007	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
4,007	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
5,008	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
6,008	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
7,009	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
8,008	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
9,010	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
10,010	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
11,010	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
12,010	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
13,009	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
14,010	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
15,010	0,000	0,000	3,000E-1	2,400E+1	0,000E+0	0,000E+0
